pump_id,timestamp,vibration_rms_g,vibration_peak_freq_hz,temperature_c,acoustic_level_db,current_draw_a,vibration_rms_roll_mean_6h,vibration_rms_roll_std_6h,RUL_days,right_censored,failure_mode_label,anomaly_label,data_split
PUMP_01,2026-03-01 00:00:00,0.1669,50.31,33.72,59.43,4.076,0.1669,0.0,90.0,True,Normal,0,train
PUMP_01,2026-03-01 01:00:00,0.1721,52.37,34.96,59.69,4.034,0.1695,0.0037,89.96,True,Normal,0,train
PUMP_01,2026-03-01 02:00:00,0.1816,51.56,34.35,56.42,4.091,0.1735,0.0075,89.92,True,Normal,0,train
PUMP_01,2026-03-01 03:00:00,0.159,51.59,33.77,56.6,3.949,0.1699,0.0095,89.88,True,Normal,0,train
PUMP_01,2026-03-01 04:00:00,0.1701,49.38,33.61,57.65,3.934,0.1699,0.0082,89.83,True,Normal,0,train
PUMP_01,2026-03-01 05:00:00,0.1378,49.85,34.61,58.1,4.091,0.1646,0.015,89.79,True,Normal,0,train
PUMP_01,2026-03-01 06:00:00,0.1664,49.54,34.07,57.71,4.01,0.1645,0.015,89.75,True,Normal,0,train
PUMP_01,2026-03-01 07:00:00,0.1435,47.74,33.9,57.34,3.984,0.1597,0.0166,89.71,True,Normal,0,train
PUMP_01,2026-03-01 08:00:00,0.1577,52.21,34.07,57.63,4.056,0.1557,0.0127,89.67,True,Normal,0,train
PUMP_01,2026-03-01 09:00:00,0.2025,51.12,34.2,58.58,4.053,0.163,0.0231,89.62,True,Normal,0,train
PUMP_01,2026-03-01 10:00:00,0.1596,49.48,33.97,56.4,3.9,0.1612,0.0228,89.58,True,Normal,0,train
PUMP_01,2026-03-01 11:00:00,0.1396,51.96,34.72,60.81,4.111,0.1616,0.0225,89.54,True,Normal,0,train
PUMP_01,2026-03-01 12:00:00,0.1561,49.05,34.76,58.03,3.967,0.1598,0.0224,89.5,True,Normal,0,train
PUMP_01,2026-03-01 13:00:00,0.1397,47.24,34.32,59.26,4.136,0.1592,0.023,89.46,True,Normal,0,train
PUMP_01,2026-03-01 14:00:00,0.1306,51.51,34.82,57.3,3.893,0.1547,0.0259,89.42,True,Normal,0,train
PUMP_01,2026-03-01 15:00:00,0.1745,48.08,34.01,58.69,4.025,0.15,0.0162,89.38,True,Normal,0,train
PUMP_01,2026-03-01 16:00:00,0.1573,49.71,34.41,58.12,3.985,0.1496,0.016,89.33,True,Normal,0,train
PUMP_01,2026-03-01 17:00:00,0.1455,50.31,34.6,59.03,3.842,0.1506,0.0154,89.29,True,Normal,0,train
PUMP_01,2026-03-01 18:00:00,0.1341,50.58,34.61,57.76,4.053,0.147,0.0165,89.25,True,Normal,0,train
PUMP_01,2026-03-01 19:00:00,0.1357,51.27,34.55,59.86,3.846,0.1463,0.0169,89.21,True,Normal,0,train
PUMP_01,2026-03-01 20:00:00,0.1645,50.87,34.38,56.21,3.977,0.1519,0.0162,89.17,True,Normal,0,train
PUMP_01,2026-03-01 21:00:00,0.1475,50.82,35.17,59.14,4.088,0.1474,0.0119,89.12,True,Normal,0,train
PUMP_01,2026-03-01 22:00:00,0.0988,48.81,33.68,58.14,3.958,0.1377,0.0219,89.08,True,Normal,0,train
PUMP_01,2026-03-01 23:00:00,0.1837,50.44,33.91,56.78,3.928,0.144,0.029,89.04,True,Normal,0,train
PUMP_01,2026-03-02 00:00:00,0.1527,47.74,33.87,60.34,4.064,0.1472,0.0288,89.0,True,Normal,0,train
PUMP_01,2026-03-02 01:00:00,0.1577,52.34,33.78,60.22,3.98,0.1508,0.0284,88.96,True,Normal,0,train
PUMP_01,2026-03-02 02:00:00,0.1713,47.9,32.81,55.51,3.968,0.152,0.0292,88.92,True,Normal,0,train
PUMP_01,2026-03-02 03:00:00,0.1641,49.48,34.82,58.21,4.102,0.1547,0.0295,88.88,True,Normal,0,train
PUMP_01,2026-03-02 04:00:00,0.1699,48.02,33.38,58.85,3.907,0.1666,0.011,88.83,True,Normal,0,train
PUMP_01,2026-03-02 05:00:00,0.1533,48.9,34.1,58.53,3.963,0.1615,0.0082,88.79,True,Normal,0,train
PUMP_01,2026-03-02 06:00:00,0.1416,50.02,33.15,59.82,4.069,0.1596,0.0112,88.75,True,Normal,0,train
PUMP_01,2026-03-02 07:00:00,0.1639,49.21,34.37,59.57,3.901,0.1607,0.0113,88.71,True,Normal,0,train
PUMP_01,2026-03-02 08:00:00,0.1801,51.72,33.53,58.32,4.142,0.1621,0.0133,88.67,True,Normal,0,train
PUMP_01,2026-03-02 09:00:00,0.1474,50.34,33.32,60.73,3.983,0.1594,0.0145,88.62,True,Normal,0,train
PUMP_01,2026-03-02 10:00:00,0.1441,49.31,34.12,59.12,4.07,0.1551,0.0146,88.58,True,Normal,0,train
PUMP_01,2026-03-02 11:00:00,0.1709,49.8,33.58,57.58,4.07,0.158,0.0159,88.54,True,Normal,0,train
PUMP_01,2026-03-02 12:00:00,0.1431,51.83,33.66,57.34,3.988,0.1582,0.0156,88.5,True,Normal,0,train
PUMP_01,2026-03-02 13:00:00,0.1413,51.36,34.1,59.49,3.962,0.1545,0.0167,88.46,True,Normal,0,train
PUMP_01,2026-03-02 14:00:00,0.1394,48.29,34.48,57.05,3.997,0.1477,0.0117,88.42,True,Normal,0,train
PUMP_01,2026-03-02 15:00:00,0.142,48.98,33.51,57.51,4.057,0.1468,0.0119,88.38,True,Normal,0,train
PUMP_01,2026-03-02 16:00:00,0.1177,50.71,33.41,57.71,3.921,0.1424,0.0169,88.33,True,Normal,0,train
PUMP_01,2026-03-02 17:00:00,0.1323,50.53,34.01,58.43,3.904,0.136,0.0097,88.29,True,Normal,0,train
PUMP_01,2026-03-02 18:00:00,0.1435,48.42,34.32,57.77,4.119,0.136,0.0098,88.25,True,Normal,0,train
PUMP_01,2026-03-02 19:00:00,0.1437,51.12,34.88,56.42,3.941,0.1364,0.0101,88.21,True,Normal,0,train
PUMP_01,2026-03-02 20:00:00,0.1587,48.66,33.36,59.39,4.028,0.1396,0.0137,88.17,True,Normal,0,train
PUMP_01,2026-03-02 21:00:00,0.1705,51.96,33.81,57.51,3.984,0.1444,0.0187,88.12,True,Normal,0,train
PUMP_01,2026-03-02 22:00:00,0.1677,50.79,34.71,60.42,3.987,0.1527,0.0152,88.08,True,Normal,0,train
PUMP_01,2026-03-02 23:00:00,0.1611,48.3,35.18,58.36,4.114,0.1575,0.0116,88.04,True,Normal,0,train
PUMP_01,2026-03-03 00:00:00,0.1478,49.21,33.4,59.52,3.993,0.1582,0.0107,88.0,True,Normal,0,train
PUMP_01,2026-03-03 01:00:00,0.1432,49.18,33.56,58.76,3.971,0.1582,0.0108,87.96,True,Normal,0,train
PUMP_01,2026-03-03 02:00:00,0.1553,50.24,34.23,59.58,3.978,0.1576,0.0109,87.92,True,Normal,0,train
PUMP_01,2026-03-03 03:00:00,0.1659,49.69,33.65,58.68,3.96,0.1568,0.0099,87.88,True,Normal,0,train
PUMP_01,2026-03-03 04:00:00,0.171,48.28,33.54,58.28,3.946,0.1574,0.0107,87.83,True,Normal,0,train
PUMP_01,2026-03-03 05:00:00,0.169,47.91,34.15,59.31,3.96,0.1587,0.0117,87.79,True,Normal,0,train
PUMP_01,2026-03-03 06:00:00,0.1582,50.82,34.93,60.98,4.133,0.1604,0.0104,87.75,True,Normal,0,train
PUMP_01,2026-03-03 07:00:00,0.1715,50.43,33.21,57.68,4.057,0.1652,0.0069,87.71,True,Normal,0,train
PUMP_01,2026-03-03 08:00:00,0.1776,50.16,34.9,58.95,3.972,0.1689,0.0065,87.67,True,Normal,0,train
PUMP_01,2026-03-03 09:00:00,0.1703,50.41,33.66,57.99,4.079,0.1696,0.0063,87.62,True,Normal,0,train
PUMP_01,2026-03-03 10:00:00,0.1545,49.07,34.21,58.61,3.873,0.1669,0.0087,87.58,True,Normal,0,train
PUMP_01,2026-03-03 11:00:00,0.1401,50.28,34.95,58.05,4.11,0.162,0.0138,87.54,True,Normal,0,train
PUMP_01,2026-03-03 12:00:00,0.1371,53.81,34.2,55.41,4.104,0.1585,0.0172,87.5,True,Normal,0,train
PUMP_01,2026-03-03 13:00:00,0.1372,51.76,33.82,57.76,4.179,0.1528,0.0178,87.46,True,Normal,0,train
PUMP_01,2026-03-03 14:00:00,0.1489,49.57,34.43,59.2,4.081,0.148,0.0129,87.42,True,Normal,0,train
PUMP_01,2026-03-03 15:00:00,0.1507,49.21,33.9,57.08,4.035,0.1448,0.0075,87.38,True,Normal,0,train
PUMP_01,2026-03-03 16:00:00,0.1201,45.71,34.31,59.11,4.103,0.139,0.011,87.33,True,Normal,0,train
PUMP_01,2026-03-03 17:00:00,0.1328,51.6,33.88,58.22,3.95,0.1378,0.0112,87.29,True,Normal,0,train
PUMP_01,2026-03-03 18:00:00,0.1436,51.18,34.52,57.77,3.968,0.1389,0.0114,87.25,True,Normal,0,train
PUMP_01,2026-03-03 19:00:00,0.1268,49.18,33.16,59.09,3.995,0.1372,0.0125,87.21,True,Normal,0,train
PUMP_01,2026-03-03 20:00:00,0.1478,47.85,33.39,58.82,4.11,0.137,0.0123,87.17,True,Normal,0,train
PUMP_01,2026-03-03 21:00:00,0.1383,48.27,33.15,58.5,3.932,0.1349,0.0104,87.12,True,Normal,0,train
PUMP_01,2026-03-03 22:00:00,0.1341,50.67,33.97,59.22,3.923,0.1372,0.0076,87.08,True,Normal,0,train
PUMP_01,2026-03-03 23:00:00,0.1482,49.87,33.08,58.24,4.019,0.1398,0.0084,87.04,True,Normal,0,train
PUMP_01,2026-03-04 00:00:00,0.1559,51.04,33.58,56.03,4.057,0.1418,0.0107,87.0,True,Normal,0,train
PUMP_01,2026-03-04 01:00:00,0.1399,50.13,33.34,57.55,3.944,0.144,0.008,86.96,True,Normal,0,train
PUMP_01,2026-03-04 02:00:00,0.1514,51.45,34.89,55.83,4.054,0.1446,0.0085,86.92,True,Normal,0,train
PUMP_01,2026-03-04 03:00:00,0.1641,50.55,33.41,58.79,4.109,0.1489,0.0108,86.88,True,Normal,0,train
PUMP_01,2026-03-04 04:00:00,0.1472,51.24,33.23,59.08,4.096,0.1511,0.0083,86.83,True,Normal,0,train
PUMP_01,2026-03-04 05:00:00,0.1348,46.87,34.15,59.13,4.028,0.1489,0.0107,86.79,True,Normal,0,train
PUMP_01,2026-03-04 06:00:00,0.137,48.15,35.01,58.59,3.993,0.1457,0.011,86.75,True,Normal,0,train
PUMP_01,2026-03-04 07:00:00,0.1534,49.45,33.93,59.16,4.139,0.148,0.0109,86.71,True,Normal,0,train
PUMP_01,2026-03-04 08:00:00,0.1389,51.62,33.98,56.11,4.001,0.1459,0.0113,86.67,True,Normal,0,train
PUMP_01,2026-03-04 09:00:00,0.1519,52.82,34.77,57.87,4.075,0.1439,0.008,86.62,True,Normal,0,train
PUMP_01,2026-03-04 10:00:00,0.18,49.75,34.53,56.3,4.157,0.1493,0.0169,86.58,True,Normal,0,train
PUMP_01,2026-03-04 11:00:00,0.1319,49.08,34.26,57.57,4.067,0.1488,0.0175,86.54,True,Normal,0,train
PUMP_01,2026-03-04 12:00:00,0.1458,47.07,33.65,59.94,3.92,0.1503,0.0166,86.5,True,Normal,0,train
PUMP_01,2026-03-04 13:00:00,0.1794,51.3,34.27,59.31,3.901,0.1546,0.0205,86.46,True,Normal,0,train
PUMP_01,2026-03-04 14:00:00,0.1511,49.17,33.18,58.79,3.976,0.1567,0.0192,86.42,True,Normal,0,train
PUMP_01,2026-03-04 15:00:00,0.1374,54.44,33.63,57.78,4.057,0.1543,0.0208,86.38,True,Normal,0,train
PUMP_01,2026-03-04 16:00:00,0.139,48.89,34.86,56.81,4.036,0.1474,0.017,86.33,True,Normal,0,train
PUMP_01,2026-03-04 17:00:00,0.1468,53.16,34.78,58.22,4.177,0.1499,0.0153,86.29,True,Normal,0,train
PUMP_01,2026-03-04 18:00:00,0.1654,51.12,34.26,59.33,4.035,0.1532,0.0163,86.25,True,Normal,0,train
PUMP_01,2026-03-04 19:00:00,0.1324,48.46,32.84,58.49,3.974,0.1454,0.0119,86.21,True,Normal,0,train
PUMP_01,2026-03-04 20:00:00,0.13,50.35,33.28,56.1,3.909,0.1418,0.0129,86.17,True,Normal,0,train
PUMP_01,2026-03-04 21:00:00,0.1222,51.16,33.59,58.13,4.094,0.1393,0.0153,86.12,True,Normal,0,train
PUMP_01,2026-03-04 22:00:00,0.1465,49.66,33.9,55.7,4.0,0.1405,0.0155,86.08,True,Normal,0,train
PUMP_01,2026-03-04 23:00:00,0.1263,51.26,33.25,58.97,3.88,0.1371,0.0161,86.04,True,Normal,0,train
PUMP_01,2026-03-05 00:00:00,0.143,51.22,33.85,57.17,4.002,0.1334,0.0095,86.0,True,Normal,0,train
PUMP_01,2026-03-05 01:00:00,0.139,50.89,35.06,56.53,3.92,0.1345,0.0097,85.96,True,Normal,0,train
PUMP_01,2026-03-05 02:00:00,0.1711,49.98,34.24,58.98,3.966,0.1414,0.0174,85.92,True,Normal,0,train
PUMP_01,2026-03-05 03:00:00,0.1494,48.24,34.13,58.67,4.0,0.1459,0.0148,85.88,True,Normal,0,train
PUMP_01,2026-03-05 04:00:00,0.1646,49.88,33.39,58.28,3.928,0.1489,0.0166,85.83,True,Normal,0,train
PUMP_01,2026-03-05 05:00:00,0.1356,50.26,33.02,60.63,3.961,0.1504,0.0144,85.79,True,Normal,0,train
PUMP_01,2026-03-05 06:00:00,0.162,47.19,33.26,58.76,3.94,0.1536,0.0145,85.75,True,Normal,0,train
PUMP_01,2026-03-05 07:00:00,0.1416,50.25,32.99,57.23,3.943,0.154,0.014,85.71,True,Normal,0,train
PUMP_01,2026-03-05 08:00:00,0.1523,49.85,34.05,58.62,3.919,0.1509,0.0113,85.67,True,Normal,0,train
PUMP_01,2026-03-05 09:00:00,0.1902,48.06,34.23,57.66,3.961,0.1577,0.0195,85.62,True,Normal,0,train
PUMP_01,2026-03-05 10:00:00,0.169,49.5,33.42,59.52,3.928,0.1584,0.0199,85.58,True,Normal,0,train
PUMP_01,2026-03-05 11:00:00,0.1507,49.53,34.09,58.34,4.047,0.161,0.0172,85.54,True,Normal,0,train
PUMP_01,2026-03-05 12:00:00,0.198,52.9,34.88,58.46,4.016,0.167,0.0229,85.5,True,Normal,0,train
PUMP_01,2026-03-05 13:00:00,0.1337,50.33,35.17,56.27,4.096,0.1656,0.0248,85.46,True,Normal,0,train
PUMP_01,2026-03-05 14:00:00,0.1625,51.55,34.46,58.07,4.151,0.1674,0.0241,85.42,True,Normal,0,train
PUMP_01,2026-03-05 15:00:00,0.1199,49.82,33.9,57.93,4.054,0.1556,0.0276,85.38,True,Normal,0,train
PUMP_01,2026-03-05 16:00:00,0.1377,47.19,34.44,56.77,4.036,0.1504,0.0275,85.33,True,Normal,0,train
PUMP_01,2026-03-05 17:00:00,0.1201,51.01,34.81,57.73,4.059,0.1453,0.0302,85.29,True,Normal,0,train
PUMP_01,2026-03-05 18:00:00,0.1439,49.01,32.8,58.52,4.037,0.1363,0.016,85.25,True,Normal,0,train
PUMP_01,2026-03-05 19:00:00,0.1412,49.5,34.89,57.99,4.004,0.1375,0.0161,85.21,True,Normal,0,train
PUMP_01,2026-03-05 20:00:00,0.1367,48.42,33.67,56.31,3.998,0.1332,0.0106,85.17,True,Normal,0,train
PUMP_01,2026-03-05 21:00:00,0.1593,50.11,33.68,57.67,3.918,0.1398,0.0127,85.12,True,Normal,0,train
PUMP_01,2026-03-05 22:00:00,0.1365,51.6,33.79,57.44,4.067,0.1396,0.0127,85.08,True,Normal,0,train
PUMP_01,2026-03-05 23:00:00,0.1523,51.4,34.19,58.23,3.997,0.145,0.0091,85.04,True,Normal,0,train
PUMP_01,2026-03-06 00:00:00,0.1623,52.38,33.33,58.1,4.116,0.148,0.0115,85.0,True,Normal,0,train
PUMP_01,2026-03-06 01:00:00,0.1303,52.59,33.83,57.51,4.073,0.1462,0.0135,84.96,True,Normal,0,train
PUMP_01,2026-03-06 02:00:00,0.1438,46.93,34.32,57.46,3.95,0.1474,0.0127,84.92,True,Normal,0,train
PUMP_01,2026-03-06 03:00:00,0.1579,48.21,34.13,58.08,4.1,0.1472,0.0125,84.88,True,Normal,0,train
PUMP_01,2026-03-06 04:00:00,0.1681,47.29,34.23,59.16,3.795,0.1524,0.0137,84.83,True,Normal,0,train
PUMP_01,2026-03-06 05:00:00,0.181,50.95,33.81,58.33,4.154,0.1572,0.018,84.79,True,Normal,0,train
PUMP_01,2026-03-06 06:00:00,0.1568,48.96,34.42,59.71,3.893,0.1563,0.0178,84.75,True,Normal,0,train
PUMP_01,2026-03-06 07:00:00,0.1549,49.27,34.63,59.36,4.04,0.1604,0.0127,84.71,True,Normal,0,train
PUMP_01,2026-03-06 08:00:00,0.1456,49.68,34.6,59.8,4.034,0.1607,0.0123,84.67,True,Normal,0,train
PUMP_01,2026-03-06 09:00:00,0.162,50.57,34.26,59.64,4.09,0.1614,0.0122,84.62,True,Normal,0,train
